"의원명","직위","아파트���","위치","면적_sqm","신고가_억","실거래추정_억","괴리율","거래기준일","매칭방법"
"이종배","국회의원","주공아파트","서울 강남구 개포동",73.3,17.4,29.0,67.2,2025.01.22,dong_area
"정순임","수석전문위원","래미안삼성2차","서울 강남구 삼성동",84.9,16.9,30.9,82.5,2025.02.21,exact
"최은석","국회의원","올림픽선수기자촌2단지",,148.8,15.9,19.6,23.0,2025.03,manual_api_search
"박태서","수석비서관","과천위버필드",,99.8,15.7,23.1,47.6,2024.09,manual_api_search
"이만희","국회의원","극동아파트","서울 광진구 광장동",126.9,15.5,24.7,58.9,2025.01.25,dong_area
"이지민","수석전문위원","잠실엘스","서울 송파구 잠실동",60.0,15.3,25.6,67.8,2025.01.11,exact
"나경원","국회의원","신동아",,210.3,15.1,21.5,42.9,2025.02,manual_api_search
"김종훈","경제산업조사실장","아시아선수촌아파트","서울 송파구 잠실동",151.0,14.4,21.1,46.9,2025.01.22,fuzzy_name
"박대출","국회의원","잠원훼미리아파트","서울 서초구 잠원동",84.9,14.3,35.5,147.9,2025.01.24,dong_area
"유영하","국회의원","경남아파트","서울 강남구 개포동",166.5,14.2,19.1,34.1,2025.01.19,dong_area
"이복우","수석전문위원","강남데시앙포레","서울 강남구 수서동",57.5,14.0,16.9,20.7,2025.01.07,exact
"윤재옥","국회의원","현대아파트","서울 송파구 오금동",130.9,14.0,20.1,43.9,2025.01.18,dong_area
"박성준","국회의원","서초한빛삼성아파트","서울 서초구 서초동",110.6,13.6,14.7,7.7,2025.02.22,fuzzy_name
"한지아","국회의원","삼풍아파트","서울 서초구 서초동",163.8,13.1,19.9,51.5,2025.01.13,fuzzy_name
"김기표","국회의원","판교원마을1단지(파라곤)",,118.6,13.1,15.5,18.5,2025.03,manual_api_search
"박준태","국회의원","아크로리츠카운티아파트","서울 서초구 방배동",85.0,13.0,19.0,46.4,2025.01.24,dong_area
"송언석","국회의원","미도아파트","서울 강남구 대치동",64.0,12.9,14.9,15.3,2025.02.18,dong_area
"윤영석","국회의원","래미안블레스티지",,99.9,12.8,15.2,19.0,2025.03,manual_api_search
"곽규택","국회의원","서초푸르지오써밋아파트","서울 서초구 서초동",121.0,12.6,13.9,11.1,2025.01.22,fuzzy_name
"지동하","예산정책처장","래미안대치팰리스","서울 강남구 대치동",85.0,12.2,21.5,75.4,2025.01.09,fuzzy_name
"추경호","국회의원","래미안도곡카운티",,106.4,12.1,17.4,44.6,2024.07,manual_api_search
"김예지","국회의원","보라매두산위브","서울 영등포구 신길동",136.7,11.8,9.3,-21.6,2025.02.22,fuzzy_name
"김병기","국회의원","장미아파트","서울 송파구 신천동",120.0,11.8,13.3,12.9,2025.01.16,dong_area
"조승래","국회의원","대전아이파크시티","대전 유성구 상대동",104.7,11.5,11.5,0.3,2025.02.12,exact
"황정근","국회도서관장","디에이치퍼스티어아이파크건물","서울 강남구 개포동",85.0,11.3,14.0,24.1,2025.01.16,fuzzy_name
"최선영","수석전문위원","롯데캐슬갤럭시","서울 서초구 잠원동",132.2,11.0,13.6,23.4,2025.02.10,fuzzy_name
"이정은","수석전문위원","롯데캐슬갤럭시","서울 서초구 잠원동",132.2,11.0,13.6,23.4,2025.02.10,fuzzy_name
"안도걸","국회의원","개포자이","서울 강남구 개포동",84.6,11.0,7.0,-36.1,2025.02.03,exact
"주철현","국회의원","아크로비스타","서울 서초구 서초동",164.2,9.9,16.4,65.8,2025.01.22,fuzzy_name
"송기헌","국회의원","청구아파트","서울 양천구 목동",84.8,9.8,13.5,37.5,2025.01.24,dong_area
"김태호","국회의원","인왕산아이파크","서울 종로구 무악동",114.9,9.5,14.5,52.8,2025.01.18,exact
"정을호","국회의원","마곡13단지힐스테이트마스터건물","서울 강서구 마곡동",85.0,9.5,14.9,57.3,2025.01.18,exact
"서삼석","국회의원","신금호파크자이","서울 성동구 금호동2가",60.0,9.3,17.8,91.0,2025.01.23,exact
"안철수","국회의원","해운대자이","부산 해운대구 우동",120.4,9.1,15.8,72.5,2025.01.25,exact
"강승규","국회의원","현대슈퍼빌","서울 서초구 서초동",153.9,9.1,12.5,37.1,2025.03.07,fuzzy_name
"김건","국회의원","래미안옥수리버젠","서울 성동구 옥수동",134.0,8.8,8.5,-3.4,2025.01.21,fuzzy_name
"황운하","국회의원","프라이어팰리스","서울 강동구 암사동",85.0,8.5,14.0,64.5,2025.01.18,exact
"천우정","수석전문위원","롯데캐슬클래식아파트","서울 서초구 서초동",74.3,8.2,13.4,62.9,2025.01.27,fuzzy_name
"진종오","국회의원","개포주공아파트","서울 강남구 개포동",73.0,8.2,5.8,-29.0,2024.04.24,dong_area
"임호선","국회의원","현대하이엘아파트","서울 광진구 구의동",154.2,8.1,17.8,119.5,2024.05.31,dong_area
"조은희","국회의원","방배빌라트","서울 서초구 방배동",242.3,7.9,9.0,14.5,2025.01.16,dong_area
"김건오","수석전문위원","목동신시가지1","서울 양천구 목동",98.1,7.7,8.3,7.6,2025.01.16,exact
"정청래","국회의원","성산월드타운대림","서울 마포구 성산동",117.9,7.6,8.3,8.3,2025.01.25,fuzzy_name
"이헌승","국회의원","반포미도2차아파트","서울 서초구 반포동",71.5,7.6,11.6,52.5,2025.01.17,fuzzy_name
"김도읍","국회의원","잠실푸르지오월드마크아파트건물","서울 송파구 신천동",125.0,7.5,10.5,40.4,2025.02.15,fuzzy_name
"김미애","국회의원","아시아선수촌아파트","부산 해운대구 반여동",118.7,7.4,3.3,-55.4,2025.01.25,fuzzy_name
"박형수","국회의원","목동신시가지아파트6단지","서울 양천구 목동",95.0,7.4,7.5,2.4,2025.01.16,dong_area
"최기상","국회의원","목련타운아파트","서울 강남구 일원동",99.8,7.4,5.2,-29.1,2025.01.25,dong_area
"김희정","국회의원","한강밤섬자이","서울 마포구 하중동",138.1,7.3,10.9,48.5,2025.01.02,fuzzy_name
"신성범","국회의원","삼성청담아파트","서울 강남구 청담동",114.8,7.3,11.4,56.3,2025.01.20,fuzzy_name
"김경호","예산분석실장","목동신시가지아파트2단지","서울 양천구 목동",95.2,7.3,7.5,3.1,2025.01.16,dong_area
"이해식","국회의원","래미안강동팰리스","서울 강동구 천호동",85.0,7.2,7.2,0.7,2025.01.23,fuzzy_name
"이성원","정책연구위원","마포자이","서울 마포구 염리동",113.8,7.1,10.2,44.5,2025.01.11,fuzzy_name
"조정훈","국회의원","이수역리가아파트","서울 동작구 사당동",85.0,6.9,6.9,-0.2,2025.01.05,fuzzy_name
"조경태","국회의원","강변코아루아파트","서울 강서구 염창동",84.8,6.9,11.8,70.5,2025.01.04,fuzzy_name
"박민규","국회의원","방배래미안타워","서울 서초구 방배동",134.4,6.8,10.2,50.9,2025.01.22,fuzzy_name
"김남희","국회의원","인왕산아이파크","서울 종로구 무악동",114.9,6.8,5.8,-14.8,2025.01.18,fuzzy_name
"박주민","국회의원","녹번역e편한세상캐슬","서울 은평구 응암동",99.8,6.8,6.2,-8.5,2025.01.23,fuzzy_name
"민홍철","국회의원","역삼래미안아파트","서울 강남구 역삼동",59.7,6.7,11.3,67.4,2025.01.25,fuzzy_name
"정일영","국회의원","에듀포레","인천 연수구 송도동",72.3,6.6,7.0,6.8,2025.01.17,exact
"서일준","국회의원","삼익맨션","서울 강동구 명일동",82.5,6.3,8.2,28.4,2025.01.22,fuzzy_name
"서영교","국회의원","면목동","서울 중랑구 면목동",134.2,6.3,9.6,51.7,2024.05.25,dong_area
"오기형","국회의원","방학동삼성래미안","서울 도봉구 방학동",84.9,6.1,8.1,32.2,2025.02.21,exact
"강선영","국회의원","홍제원현대아파트","서울 서대문구 홍제동",84.9,5.8,7.9,35.0,2025.01.24,dong_area
"홍기원","국회의원","신동아아파트","서울 성동구 행당동",76.4,5.8,9.9,69.5,2025.01.16,exact
"진성준","국회의원","등촌동성아파트","서울 강서구 등촌동",134.9,5.8,3.5,-39.7,2024.04.08,exact
"이소영","국회의원","홍제원현대","서울 서대문구 홍제동",84.9,5.7,9.6,68.7,2025.02.26,exact
"이양수","국회의원","토평마을이편한세상아파트","경기 구리시 토평동",84.6,5.5,5.0,-10.6,2025.01.14,dong_area
"김현정","국회의원","텐즈힐","서울 성동구 하왕십리동",84.9,5.5,4.7,-14.7,2025.01.25,dong_area
"임종득","국회의원","로이파크","서울 동작구 사당동",85.0,5.3,3.8,-28.8,2025.01.18,dong_area
"조승환","국회의원","첫마을아파트","세종 세종시 한솔동",102.8,5.2,5.4,4.5,2025.01.26,dong_area
"김성회","국회의원","극동미라주","서울 성동구 하왕십리동",59.4,5.0,12.0,138.1,2025.01.18,exact
"이관후","입법조사처장","테헤란로대우아이빌","서울 강남구 대치동",58.9,5.0,14.9,196.8,2025.02.18,dong_area
"김영호","국회의원","DMC파크뷰자이","서울 서대문구 남가좌동",85.0,4.9,6.0,21.8,2025.01.21,fuzzy_name
"김기현","국회의원","롯데캐슬2단지아파트","울산 남구 야음동",157.1,4.7,7.4,57.5,2025.01.19,dong_area
"김정재","국회의원","은평뉴타운기자촌11단지","서울 은평구 진관동",84.8,4.6,8.4,81.0,2025.02.26,exact
"이용선","국회의원","신정6현대아파트","서울 양천구 신정동",84.6,4.6,9.8,112.4,2025.01.08,exact
"김주영","국회의원","롯데캐슬아파트","서울 강서구 염창동",134.6,4.5,3.6,-19.8,2025.01.06,dong_area
"이성윤","국회의원","라이프아파트","서울 강동구 둔촌동",79.5,4.4,9.6,118.9,2025.01.31,dong_area
"윤건영","국회의원","현대아파트","서울 성북구 돈암동",84.8,4.3,7.2,65.9,2025.02.08,exact
"오기형","국회의원","도봉한신아파트","서울 도봉구 도봉동",84.9,4.3,6.3,45.8,2025.01.16,exact
"천준호","국회의원","수유벽산아파트","서울 강북구 수유동",122.6,4.3,7.8,82.2,2025.03.15,dong_area
"공춘택","국회세종의사당추진단장","마곡힐스테이트","서울 강서구 마곡동",84.9,4.2,6.1,44.1,2025.02.27,fuzzy_name
"노종면","국회의원","현대1단지아파트","인천 부평구 산곡동",84.6,4.0,5.4,35.6,2025.01.14,dong_area
"이훈기","국회의원","구월동힐스테이트롯데캐슬골드1단지아파트","인천 남동구 ",115.7,4.0,6.0,51.6,2025.01.24,exact
"김위상","국회의원","상인화성파크드림2단지아파트건물","대구 달서구 상인동",119.2,4.0,4.5,12.9,2025.02.15,fuzzy_name
"강득구","국회의원","코오롱하늘채","경기 안양시만안구 석수동",117.6,3.9,5.5,41.4,2025.02.27,fuzzy_name
"안태준","국회의원","송정현대","경기 광주시 송정동",120.6,3.9,4.4,14.8,2025.01.23,dong_area
"백종헌","국회의원","에스케이아파트","부산 금정구 부곡동",163.8,3.8,5.7,52.0,2025.01.17,fuzzy_name
"소병훈","국회의원","경남아너스빌2단지","경기 광주시 탄벌동",159.9,3.7,6.2,66.2,2025.01.24,exact
"유동수","국회의원","동보2차아파트","인천 계양구 작전동",234.0,3.6,5.7,54.8,2024.04.17,exact
"장철민","국회의원","벽산5단지아파트","서울 금천구 시흥동",85.0,3.5,5.4,52.3,2025.01.27,exact
"문정복","국회의원","푸르지오아파트","경기 시흥시 은행동",84.8,3.1,5.6,81.6,2025.01.25,dong_area
"이인영","국회의원","동부골든아파트","서울 구로구 오류동",71.1,3.0,5.2,73.3,2025.01.18,exact
"박상웅","국회의원","다성시티아파트","서울 강동구 명일동",72.4,2.9,6.8,131.3,2025.02.08,fuzzy_name
"김종양","국회의원","동래한양아파트","부산 동래구 낙민동",89.0,2.9,5.9,101.4,2025.01.16,dong_area
"김재원","국회의원","서강스카이빌","서울 은평구 응암동",150.0,2.9,3.7,26.7,2025.03.17,fuzzy_name
"천준호","국회의원","래미안이문2차아파트","서울 동대문구 이문동",84.6,2.9,4.6,60.3,2025.01.02,fuzzy_name
"김재원","국회의원","수정럭스아파트","서울 은평구 갈현동",68.6,2.6,8.4,218.9,2025.02.02,dong_area
"임이자","국회의원","상주무양LH천년나무아파트","경북 상주시 무양동",85.0,2.6,4.0,50.9,2025.01.14,dong_area
"박정현","국회의원","선비마을5단지아파트","대전 대덕구 송촌동",84.9,2.6,3.8,44.8,2025.01.23,exact
"김상훈","국회의원","한라아파트","대구 수성구 범물동",132.0,2.4,3.7,52.3,2025.01.07,dong_area
"장동혁","국회의원","현대아파트","서울 구로구 구로동",116.0,2.4,3.6,50.0,2025.01.24,exact
"박홍배","국회의원","두산2차아파트","부산 해운대구 좌동",74.0,2.4,5.1,114.6,2025.01.13,fuzzy_name
"이훈기","국회의원","신동아아파트3차","인천 미추홀구 학익동",127.0,2.4,4.9,106.8,2025.01.20,dong_area
"김연광","수석비서관","뉴서울아파트","인천 부평구 산곡동",84.9,2.3,2.8,19.6,2025.02.08,exact
"강민국","국회의원","진주센트럴자이","경남 진주시 상평동",84.5,2.2,3.8,73.7,2025.03.29,exact
"이학영","국회부의장","한양목련아파트","경기 군포시 산본동",126.0,2.1,2.4,12.6,2025.01.27,dong_area
"황명선","국회의원","리벤하임아파트","충남 논산시 내동",84.6,2.1,4.6,122.8,2025.01.21,dong_area
"구자근","국회의원","강변코오롱하늘채","경북 구미시 비산동",71.0,2.1,2.6,28.3,2025.01.31,fuzzy_name
"김문수","국회의원","길음뉴타운","서울 성북구 길음동",59.8,2.0,2.6,29.3,2025.02.24,fuzzy_name
"정태호","국회의원","진주아파트","인천 서구 가좌동",84.8,2.0,3.0,54.0,2025.01.15,dong_area
"이관후","입법조사처장","우미오션빌","전남 목포시 옥암동",103.6,1.9,2.6,39.0,2025.01.10,fuzzy_name
"민홍철","국회의원","화정마을2단지부영아파트","경남 김해시 삼계동",85.0,1.8,2.9,63.1,2025.01.31,dong_area
"허종식","국회의원","휴먼빌아파트","인천 미추홀구 주안동",85.0,1.6,2.3,42.9,2025.01.31,dong_area
"박해철","국회의원","삼정그린빌","대구 달서구 두류동",59.9,1.6,2.7,69.8,2025.01.15,fuzzy_name
"강준현","국회의원","두진리버빌","세종 세종시 금남면",59.9,1.5,2.7,80.0,2025.01.18,exact
"이해식","국회의원","인창2단지주공아파트","경기 구리시 인창동",50.0,1.5,2.3,55.4,2025.02.15,dong_area
"윤재옥","국회의원","월성영남맨션","대구 달서구 월성동",84.9,1.5,1.5,2.7,2025.01.12,fuzzy_name
"윤재옥","국회의원","사계절타운아파트","대구 달서구 도원동",85.0,1.4,3.5,161.5,2025.01.12,dong_area
"이연희","국회의원","하늘빛아파트","충북 옥천군 옥천읍",59.9,1.3,2.8,114.3,2025.02.28,fuzzy_name
"이인영","국회의원","코오롱동신아파트","충북 충주시 칠금동",75.6,1.3,2.4,92.0,2025.01.13,fuzzy_name
"위성곤","국회의원","주공아파트","제주 서귀포시 동홍동",58.8,1.1,3.7,242.6,2025.01.31,dong_area
"김정호","국회의원","월산마을부영4단지19차아파트","경남 김해시 부곡동",80.9,1.1,1.6,52.4,2025.01.31,dong_area
"민병덕","국회의원","서능아파트","경기 시흥시 매화동",45.7,1.0,1.1,10.6,2025.01.18,dong_area
"장동혁","국회의원","흥화아파트","충남 보령시 대천동",85.0,1.0,2.8,187.8,2025.01.06,dong_area
"전종덕","국회의원","대성베르힐","전남 화순군 화순읍",84.9,0.8,1.1,30.5,2024.04.25,fuzzy_name
"김태년","국회의원","백합아파트","전남 순천시 덕암동",85.0,0.7,1.4,84.2,2025.01.21,dong_area
"김영배","국회의원","대승하이아트아파트","경남 양산시 덕계동",83.5,0.7,4.7,583.1,2025.01.25,dong_area
"성일종","국회의원","신주공아파트","충남 서산시 석림동",58.1,0.7,0.9,38.6,2025.01.21,dong_area
"황정아","국회의원","송강마을아파트","대전 유성구 송강동",49.5,0.7,1.2,81.3,2025.01.22,dong_area
"김원이","국회의원","중앙하이츠아파트","전남 목포시 산정동",84.9,0.6,1.3,107.3,2025.01.24,exact
"이연희","국회의원","문정주공아파트","충북 옥천군 옥천읍",49.6,0.6,1.1,99.0,2025.01.31,dong_area
"양문석","국회의원","신반포4","서울 서초구 잠원동",107.4,0.0,39.0,0.0,2025.01.24,fuzzy_name
"이철규","국회의원","올림픽파크포레온","서울 강동구 둔촌동",40.0,0.0,12.5,0.0,2025.03.18,fuzzy_name
"추미애","국회의원","현대프라임아파트","서울 광진구 구의동",126.7,0.0,20.8,0.0,2025.01.22,fuzzy_name
